Coincidence event, time difference, timestamp 1, timestamp 2, nth event within the second
//note that we still have too many events in this dataset to be considered muons.
Muon:0.000022 (131833.000001-131833.000023) Et2
Muon:0.000040 (131833.000016-131833.000056) Et3
Muon:0.000013 (131918.000169-131918.000182) Et1
Muon:0.000000 (131919.000002-131919.000002) Et1
Muon:0.000092 (131922.000147-131922.000239) Et3
Muon:0.000036 (131924.002193-131924.002229) Et4
Muon:0.000044 (132002.000478-132002.000522) Et3
Muon:0.000006 (132014.000251-132014.000244) Et1
Muon:0.000005 (132014.000253-132014.000258) Et2
Muon:0.000010 (132014.000254-132014.000264) Et3
Muon:0.000013 (132014.000256-132014.000269) Et4
Muon:0.000046 (132015.000240-132015.000286) Et1
Muon:0.000052 (132016.003500-132016.003448) Et1
Muon:0.000026 (132016.003508-132016.003482) Et2
Muon:0.000010 (132016.003556-132016.003547) Et3
Muon:0.000052 (132016.003721-132016.003669) Et4
Muon:0.000002 (132228.000001-132228.000002) Et1
Muon:0.000004 (132228.000003-132228.000006) Et2
Muon:0.000003 (132228.000010-132228.000013) Et3
Muon:0.000068 (132230.000001-132230.000069) Et1
Muon:0.000015 (132348.000002-132348.000017) Et1
Muon:0.000005 (132426.000001-132426.000006) Et1
Muon:0.000070 (132520.000001-132520.000071) Et1
Muon:0.000087 (132520.000002-132520.000089) Et2
Muon:0.000009 (132553.000001-132553.000010) Et1
Muon:0.000009 (132553.000001-132553.000011) Et2
Muon:0.000057 (132554.000001-132554.000058) Et1
Muon:0.000070 (132554.000001-132554.000071) Et2
Muon:0.000002 (132637.000001-132637.000002) Et1
Muon:0.000001 (132637.000003-132637.000005) Et2
Muon:0.000028 (132637.000034-132637.000006) Et3
Muon:0.000074 (132637.000085-132637.000011) Et4
Muon:0.000043 (132638.000001-132638.000044) Et1
Muon:0.000033 (132639.000001-132639.000033) Et1
Muon:0.000040 (132639.000004-132639.000044) Et2
Muon:0.000019 (132639.000027-132639.000046) Et3
Muon:0.000015 (132639.000081-132639.000066) Et4
Muon:0.000060 (132735.000188-132735.000128) Et2
Muon:0.000013 (132839.001088-132839.001075) Et3
Muon:0.000002 (132844.000004-132844.000002) Et1
Muon:0.000100 (132844.000105-132844.000005) Et2
Muon:0.000000 (132915.000001-132915.000001) Et1
Muon:0.000002 (133014.000001-133014.000002) Et1
Muon:0.000002 (133014.000002-133014.000004) Et2
Muon:0.000020 (133014.000053-133014.000033) Et3
Muon:0.000002 (133017.000001-133017.000002) Et1
Muon:0.000000 (133048.000001-133048.000001) Et1
Muon:0.000076 (133212.000877-133212.000954) Et3
Muon:0.000059 (133300.001516-133300.001575) Et2
Muon:0.000000 (133346.000001-133346.000001) Et1
Muon:0.000027 (133347.000001-133347.000027) Et1
Muon:0.000032 (133347.000001-133347.000033) Et2
Muon:0.000002 (133348.000001-133348.000002) Et1
Muon:0.000003 (133348.000001-133348.000004) Et2
Muon:0.000026 (133348.000002-133348.000028) Et3
Muon:0.000006 (133500.000001-133500.000007) Et1
Muon:0.000016 (133530.000001-133530.000017) Et1
Muon:0.000002 (133736.000001-133736.000003) Et1
Muon:0.000006 (133737.000001-133737.000006) Et1
Muon:0.000002 (133831.000001-133831.000003) Et1
Muon:0.000004 (133831.000001-133831.000005) Et2
Muon:0.000010 (133831.000002-133831.000012) Et3
Muon:0.000030 (133831.000003-133831.000034) Et4
Muon:0.000004 (133833.000001-133833.000004) Et1
Muon:0.000060 (134051.000887-134051.000827) Et3
Muon:0.000001 (134152.000002-134152.000001) Et1
Muon:0.000004 (134156.000001-134156.000005) Et1
Muon:0.000005 (134156.000002-134156.000006) Et2
Muon:0.000005 (134156.000003-134156.000008) Et3
Muon:0.000041 (134156.000009-134156.000049) Et4
Muon:0.000004 (134237.000001-134237.000004) Et1
Muon:0.000004 (134304.000276-134304.000280) Et1
Muon:0.000002 (134306.000001-134306.000002) Et1
Muon:0.000053 (134307.000001-134307.000054) Et1
Muon:0.000086 (134307.000002-134307.000087) Et2
Muon:0.000030 (134310.000001-134310.000031) Et1
Muon:0.000099 (134346.000542-134346.000443) Et2
Muon:0.000001 (134347.000001-134347.000002) Et1
Muon:0.000004 (134347.000003-134347.000006) Et2
Muon:0.000007 (134347.000020-134347.000013) Et3
Muon:0.000083 (134347.000138-134347.000056) Et4
Muon:0.000077 (134425.000001-134425.000078) Et1
Muon:0.000001 (134427.000001-134427.000002) Et1
Muon:0.000005 (134427.000002-134427.000006) Et2
Muon:0.000076 (134552.002505-134552.002581) Et4
Muon:0.000003 (134640.000001-134640.000004) Et1
Muon:0.000071 (134642.000111-134642.000183) Et3
Muon:0.000073 (134825.000001-134825.000073) Et1
Muon:0.000077 (134910.000127-134910.000049) Et1
Muon:0.000041 (134910.000128-134910.000087) Et2
Muon:0.000002 (135040.000001-135040.000002) Et1
Muon:0.000003 (135040.000001-135040.000004) Et2
Muon:0.000004 (135040.000002-135040.000006) Et3
Muon:0.000090 (135042.000001-135042.000091) Et1
Muon:0.000002 (135124.000001-135124.000002) Et1
Muon:0.000005 (135124.000009-135124.000004) Et2
Muon:0.000045 (135124.000049-135124.000004) Et3
Muon:0.000000 (135125.000001-135125.000001) Et1
Muon:0.000015 (135125.000001-135125.000016) Et2
Muon:0.000058 (135133.000001-135133.000059) Et1
Muon:0.000055 (135204.000001-135204.000055) Et1
Muon:0.000087 (135204.000001-135204.000089) Et2
Muon:0.000089 (135204.000002-135204.000091) Et3
Muon:0.000093 (135206.000001-135206.000094) Et1
Muon:0.000095 (135206.000001-135206.000096) Et2
Muon:0.000096 (135206.000002-135206.000098) Et3
Muon:0.000002 (135241.000001-135241.000002) Et1
Muon:0.000001 (135241.000003-135241.000005) Et2
Muon:0.000010 (135324.000001-135324.000011) Et1
Muon:0.000001 (135325.000001-135325.000002) Et1
Muon:0.000000 (135540.000001-135540.000002) Et1
Muon:0.000002 (135540.000002-135540.000004) Et2
Muon:0.000007 (135540.000003-135540.000010) Et3
Muon:0.000011 (135540.000005-135540.000016) Et4
Muon:0.000002 (135620.000001-135620.000003) Et1
Muon:0.000001 (135620.000004-135620.000006) Et2
Muon:0.000002 (135620.000010-135620.000007) Et3
Muon:0.000028 (135620.000039-135620.000012) Et4
Muon:0.000002 (135827.000001-135827.000003) Et1
Muon:0.000008 (135827.000013-135827.000005) Et2
Muon:0.000075 (135859.000001-135859.000076) Et1
Muon:0.000001 (140015.000004-140015.000003) Et1
Muon:0.000001 (140023.000001-140023.000002) Et1
Muon:0.000011 (140023.000011-140023.000022) Et2
Muon:0.000089 (140024.000001-140024.000090) Et1
Muon:0.000084 (140024.000007-140024.000091) Et2
Muon:0.000001 (140056.000001-140056.000002) Et1
Muon:0.000003 (140056.000001-140056.000004) Et2
Muon:0.000006 (140056.000002-140056.000008) Et3
Muon:0.000039 (140056.000020-140056.000059) Et4
Muon:0.000005 (140135.000001-140135.000006) Et1
Muon:0.000054 (140135.000013-140135.000067) Et2
Muon:0.000001 (140359.000001-140359.000002) Et1
Muon:0.000005 (140359.000002-140359.000006) Et2
Muon:0.000007 (140359.000004-140359.000012) Et3
Muon:0.000020 (140506.000001-140506.000020) Et1
Muon:0.000049 (140544.000001-140544.000049) Et1
Muon:0.000063 (140721.000458-140721.000520) Et4
Muon:0.000002 (140847.000001-140847.000002) Et1
Muon:0.000002 (140847.000003-140847.000005) Et2
Muon:0.000003 (140847.000006-140847.000009) Et3
Muon:0.000023 (140847.000037-140847.000013) Et4
Muon:0.000047 (141026.000121-141026.000169) Et1
Muon:0.000100 (141026.000279-141026.000179) Et2
Muon:0.000057 (141053.002890-141053.002947) Et3
Muon:0.000083 (141053.004354-141053.004271) Et4
Muon:0.000033 (141137.000001-141137.000033) Et1
Muon:0.000001 (141138.000001-141138.000002) Et1
Muon:0.000037 (141138.000028-141138.000065) Et2
Muon:0.000004 (141141.000001-141141.000005) Et1
Muon:0.000016 (141327.000001-141327.000017) Et1
Muon:0.000001 (141337.000001-141337.000002) Et1
Muon:0.000002 (141337.000001-141337.000004) Et2
Muon:0.000034 (141337.000002-141337.000036) Et3
Muon:0.000088 (141458.000248-141458.000335) Et1
Muon:0.000087 (141458.000249-141458.000336) Et2
Muon:0.000086 (141458.000855-141458.000942) Et4
Muon:0.000059 (141459.000535-141459.000476) Et3
Muon:0.000082 (141459.000821-141459.000903) Et4
Muon:0.000002 (141544.000208-141544.000210) Et4
Muon:0.000028 (141548.000646-141548.000618) Et1
Muon:0.000042 (141548.000667-141548.000624) Et2
Muon:0.000001 (141643.000001-141643.000002) Et1
Muon:0.000002 (141643.000008-141643.000006) Et2
Muon:0.000045 (141643.000063-141643.000018) Et3
Muon:0.000002 (141745.000001-141745.000002) Et1
Muon:0.000007 (141745.000001-141745.000009) Et2
Muon:0.000024 (141745.000011-141745.000034) Et3
Muon:0.000001 (141827.000001-141827.000002) Et1
Muon:0.000007 (141827.000001-141827.000008) Et2
Muon:0.000059 (141827.000002-141827.000061) Et3
Muon:0.000001 (141828.000001-141828.000002) Et1
Muon:0.000001 (141828.000005-141828.000006) Et2
Muon:0.000096 (141829.000001-141829.000096) Et1
Muon:0.000053 (142003.000113-142003.000060) Et1
Muon:0.000067 (142003.000215-142003.000148) Et3
Muon:0.000036 (142003.000226-142003.000190) Et4
Muon:0.000001 (142006.000001-142006.000001) Et1
Muon:0.000020 (142057.000008-142057.000028) Et1
Muon:0.000070 (142059.000001-142059.000070) Et1
Muon:0.000012 (142320.000000-142320.000012) Et1
Muon:0.000001 (142702.000001-142702.000002) Et1
Muon:0.000001 (142702.000001-142702.000002) Et2
Muon:0.000029 (142753.001222-142753.001251) Et4
Muon:0.000002 (142904.000001-142904.000003) Et1
Muon:0.000041 (142904.000002-142904.000043) Et2
Muon:0.000068 (142904.000015-142904.000083) Et3
Muon:0.000047 (142904.000120-142904.000168) Et4
Muon:0.000070 (143132.000001-143132.000070) Et1
Muon:0.000049 (143132.000048-143132.000097) Et2
Muon:0.000000 (143136.000001-143136.000001) Et1
Muon:0.000001 (143451.000001-143451.000002) Et1
Muon:0.000002 (143451.000002-143451.000004) Et2
Muon:0.000029 (143640.000172-143640.000143) Et1
Muon:0.000098 (143640.000257-143640.000160) Et2
Muon:0.000077 (143707.000373-143707.000296) Et2
Muon:0.000089 (143709.000551-143709.000639) Et3
Muon:0.000084 (143710.000004-143710.000087) Et1
Muon:0.000094 (143712.000096-143712.000002) Et1
Muon:0.000002 (143754.000002-143754.000004) Et1
Muon:0.000066 (143754.000278-143754.000212) Et2
Muon:0.000001 (143852.000001-143852.000002) Et1
Muon:0.000000 (143853.000002-143853.000002) Et1
Muon:0.000002 (143853.000003-143853.000004) Et2
Muon:0.000001 (143853.000008-143853.000006) Et3
Muon:0.000022 (143853.000036-143853.000014) Et4
Muon:0.000056 (144146.000001-144146.000056) Et1
Muon:0.000068 (144146.000022-144146.000090) Et2
Muon:0.000001 (144147.000001-144147.000002) Et1
Muon:0.000000 (144228.000002-144228.000002) Et1
Muon:0.000007 (144228.000013-144228.000006) Et2
Muon:0.000021 (144228.000044-144228.000024) Et3
Muon:0.000001 (144342.000001-144342.000001) Et1
Muon:0.000003 (144342.000001-144342.000004) Et2
Muon:0.000001 (144626.000001-144626.000002) Et1
Muon:0.000013 (144626.000002-144626.000015) Et2
Muon:0.000001 (144627.000001-144627.000002) Et1
Muon:0.000020 (144627.000001-144627.000021) Et2
Muon:0.000040 (144627.000002-144627.000042) Et3
Muon:0.000058 (144718.000001-144718.000058) Et1
Muon:0.000097 (144718.000001-144718.000098) Et2
Muon:0.000094 (144720.000416-144720.000510) Et4
Muon:0.000000 (145046.000001-145046.000001) Et1
Muon:0.000002 (145048.000001-145048.000002) Et1
Muon:0.000005 (145048.000010-145048.000004) Et2
Muon:0.000014 (145048.000022-145048.000008) Et3
Muon:0.000035 (145048.000049-145048.000015) Et4
Muon:0.000001 (145049.000001-145049.000002) Et1
Muon:0.000009 (145049.000002-145049.000010) Et2
Muon:0.000044 (145053.000736-145053.000781) Et3
Muon:0.000001 (145245.000002-145245.000002) Et1
Muon:0.000014 (145245.000003-145245.000017) Et2
Muon:0.000022 (145246.000196-145246.000174) Et1
Muon:0.000096 (145248.000097-145248.000002) Et1
Muon:0.000013 (145317.001073-145317.001060) Et4
Muon:0.000000 (145425.000001-145425.000001) Et1
Muon:0.000055 (145425.000002-145425.000056) Et2
Muon:0.000001 (145426.000001-145426.000002) Et1
Muon:0.000053 (145426.000004-145426.000057) Et2
Muon:0.000004 (145429.000001-145429.000004) Et1
Muon:0.000001 (145429.000006-145429.000006) Et2
Muon:0.000056 (145429.000019-145429.000075) Et3
Muon:0.000001 (145430.000001-145430.000002) Et1
Muon:0.000003 (145430.000001-145430.000004) Et2
Muon:0.000000 (145430.000005-145430.000005) Et3
Muon:0.000062 (145430.000012-145430.000075) Et4
Muon:0.000001 (145511.000001-145511.000002) Et1
Muon:0.000004 (145511.000002-145511.000006) Et2
Muon:0.000027 (145511.000003-145511.000029) Et3
Muon:0.000068 (145511.000005-145511.000073) Et4
Muon:0.000001 (145515.000001-145515.000001) Et1
Muon:0.000003 (145616.000001-145616.000004) Et1
Muon:0.000003 (145616.000002-145616.000005) Et2
Muon:0.000041 (145703.001050-145703.001009) Et2
Muon:0.000079 (145830.000335-145830.000414) Et2
Muon:0.000051 (145855.000005-145855.000056) Et1
Muon:0.000056 (145855.000007-145855.000062) Et2
Muon:0.000056 (145855.000009-145855.000065) Et3
Muon:0.000068 (145855.000048-145855.000116) Et4
Muon:0.000006 (145857.000439-145857.000444) Et4
Muon:0.000082 (150001.000138-150001.000220) Et3
Muon:0.000001 (150044.000001-150044.000002) Et1
Muon:0.000006 (150044.000002-150044.000008) Et2
Muon:0.000010 (150044.000003-150044.000013) Et3
Muon:0.000050 (150046.000001-150046.000050) Et1
Muon:0.000002 (150112.000001-150112.000002) Et1
Muon:0.000005 (150112.000010-150112.000005) Et2
Muon:0.000013 (150112.000022-150112.000009) Et3
Muon:0.000029 (150112.000044-150112.000016) Et4
Muon:0.000002 (150113.000001-150113.000003) Et1
Muon:0.000006 (150153.000002-150153.000008) Et1
Muon:0.000097 (150153.000143-150153.000047) Et2
Muon:0.000002 (150245.000004-150245.000002) Et1
Muon:0.000069 (150246.000338-150246.000268) Et1
Muon:0.000013 (150246.000359-150246.000346) Et2
Muon:0.000067 (150246.000419-150246.000352) Et3
Muon:0.000013 (150706.000004-150706.000017) Et1
Muon:0.000001 (150735.000001-150735.000002) Et1
Muon:0.000002 (150735.000004-150735.000006) Et2
Muon:0.000005 (150735.000010-150735.000015) Et3
Muon:0.000007 (150735.000051-150735.000044) Et4
Muon:0.000017 (150922.000001-150922.000018) Et1
Muon:0.000001 (150923.000001-150923.000002) Et1
Muon:0.000001 (150923.000001-150923.000002) Et2
Muon:0.000001 (150924.000001-150924.000002) Et1
Muon:0.000034 (150924.000018-150924.000052) Et2
Muon:0.000002 (151213.000001-151213.000003) Et1
Muon:0.000020 (151213.000028-151213.000007) Et2
Muon:0.000078 (151213.000092-151213.000014) Et3
Muon:0.000001 (151244.000001-151244.000002) Et1
Muon:0.000048 (151245.000010-151245.000058) Et1
Muon:0.000073 (151245.000012-151245.000085) Et2
Muon:0.000080 (151515.004016-151515.003936) Et3
Muon:0.000011 (151619.000013-151619.000002) Et1
Muon:0.000002 (151653.000001-151653.000002) Et1
Muon:0.000000 (151653.000004-151653.000004) Et2
Muon:0.000011 (151653.000017-151653.000006) Et3
Muon:0.000018 (151653.000041-151653.000023) Et4
Muon:0.000076 (151825.000724-151825.000648) Et3
Muon:0.000001 (152022.000001-152022.000002) Et1
Muon:0.000013 (152022.000001-152022.000014) Et2
Muon:0.000002 (152152.000001-152152.000002) Et1
Muon:0.000005 (152152.000001-152152.000006) Et2
Muon:0.000009 (152152.000006-152152.000015) Et3
Muon:0.000025 (152152.000027-152152.000052) Et4
Muon:0.000001 (152154.000001-152154.000002) Et1
Muon:0.000012 (152154.000004-152154.000015) Et2
Muon:0.000037 (152154.000012-152154.000049) Et3
Muon:0.000027 (152154.000081-152154.000108) Et4
Muon:0.000002 (152155.000001-152155.000002) Et1
Muon:0.000000 (152155.000005-152155.000005) Et2
Muon:0.000003 (152155.000010-152155.000006) Et3
Muon:0.000019 (152155.000019-152155.000038) Et4
Muon:0.000086 (152234.000001-152234.000087) Et1
Muon:0.000000 (152559.000001-152559.000001) Et1
Muon:0.000001 (152600.000001-152600.000002) Et1
Muon:0.000000 (152600.000006-152600.000006) Et2
Muon:0.000089 (152600.000028-152600.000117) Et3
Muon:0.000050 (152600.000349-152600.000299) Et4
Muon:0.000033 (152619.000001-152619.000033) Et1
Muon:0.000053 (152619.000001-152619.000054) Et2
Muon:0.000071 (152659.000099-152659.000171) Et1
Muon:0.000082 (152659.000628-152659.000546) Et2
Muon:0.000000 (152835.000002-152835.000003) Et1
Muon:0.000006 (152835.000009-152835.000016) Et3
Muon:0.000007 (152835.000035-152835.000041) Et4
Muon:0.000002 (152836.000001-152836.000003) Et1
Muon:0.000003 (152836.000001-152836.000005) Et2
Muon:0.000000 (152923.000001-152923.000001) Et1
Muon:0.000055 (152932.000056-152932.000111) Et3
Muon:0.000016 (152932.000137-152932.000120) Et4
Muon:0.000033 (152951.000001-152951.000033) Et1
Muon:0.000002 (153340.000001-153340.000003) Et1
Muon:0.000003 (153340.000001-153340.000005) Et2
Muon:0.000025 (153340.000003-153340.000028) Et3
Muon:0.000044 (153340.000013-153340.000057) Et4
Muon:0.000015 (153434.000002-153434.000017) Et1
Muon:0.000001 (153714.000001-153714.000002) Et1
Muon:0.000001 (153715.000001-153715.000002) Et1
Muon:0.000018 (153715.000002-153715.000021) Et2
Muon:0.000032 (153715.000007-153715.000038) Et3
Muon:0.000002 (153919.000001-153919.000003) Et1
Muon:0.000001 (153920.000001-153920.000002) Et1
Muon:0.000030 (153920.000001-153920.000032) Et2
Muon:0.000012 (153920.000068-153920.000081) Et3
Muon:0.000056 (153924.001338-153924.001282) Et4
Muon:0.000003 (154120.000001-154120.000003) Et1
Muon:0.000065 (154157.000001-154157.000066) Et1
Muon:0.000010 (154158.000001-154158.000011) Et1
Muon:0.000042 (154436.000316-154436.000357) Et1
Muon:0.000045 (154436.000316-154436.000362) Et2
Muon:0.000002 (154453.000001-154453.000002) Et1
Muon:0.000049 (154454.001207-154454.001158) Et1
Muon:0.000000 (154548.000002-154548.000002) Et1
Muon:0.000003 (154548.000002-154548.000005) Et2
Muon:0.000013 (154700.000001-154700.000013) Et1
Muon:0.000020 (154700.000004-154700.000024) Et2
Muon:0.000039 (154700.000012-154700.000051) Et3
Muon:0.000016 (154708.000001-154708.000017) Et1
Muon:0.000004 (154903.000006-154903.000002) Et1
Muon:0.000003 (154942.000179-154942.000176) Et1
Muon:0.000001 (155041.000001-155041.000002) Et1
Muon:0.000008 (155041.000002-155041.000010) Et2
Muon:0.000046 (155041.000004-155041.000050) Et3
Muon:0.000001 (155043.000001-155043.000002) Et1
Muon:0.000002 (155112.000001-155112.000002) Et1
Muon:0.000002 (155112.000002-155112.000004) Et2
Muon:0.000088 (155112.000014-155112.000102) Et3
Muon:0.000071 (155120.000001-155120.000072) Et1
Muon:0.000087 (155120.000001-155120.000089) Et2
Muon:0.000001 (155158.000001-155158.000002) Et1
Muon:0.000002 (155158.000002-155158.000004) Et2
Muon:0.000027 (155158.000005-155158.000032) Et3
Muon:0.000053 (155158.000008-155158.000061) Et4
Muon:0.000095 (155316.004960-155316.005055) Et3
Muon:0.000000 (155435.000002-155435.000002) Et1
Muon:0.000001 (155435.000003-155435.000004) Et2
Muon:0.000001 (155531.000001-155531.000002) Et1
Muon:0.000095 (155600.000001-155600.000095) Et1
Muon:0.000052 (155722.000065-155722.000013) Et1
Muon:0.000049 (155722.000140-155722.000091) Et2
Muon:0.000051 (155815.000463-155815.000412) Et1
Muon:0.000052 (155815.000465-155815.000413) Et2
Muon:0.000021 (155830.000001-155830.000022) Et1
Muon:0.000003 (155835.000001-155835.000004) Et1
Muon:0.000009 (155835.000002-155835.000011) Et2
Muon:0.000044 (155835.000005-155835.000049) Et3
Muon:0.000086 (155835.000010-155835.000096) Et4
Muon:0.000002 (155917.000001-155917.000002) Et1
Muon:0.000003 (155917.000001-155917.000005) Et2
Muon:0.000005 (155917.000002-155917.000006) Et3
Muon:0.000030 (155917.000040-155917.000010) Et4
Muon:0.000005 (155932.000001-155932.000006) Et1
Muon:0.000002 (160015.000001-160015.000002) Et1
Muon:0.000003 (160015.000001-160015.000005) Et2
Muon:0.000000 (160015.000006-160015.000006) Et3
Muon:0.000049 (160015.000064-160015.000015) Et4
Muon:0.000001 (160017.000001-160017.000002) Et1
Muon:0.000021 (160017.000001-160017.000022) Et2
Muon:0.000033 (160152.000001-160152.000033) Et1
Muon:0.000002 (160301.000001-160301.000002) Et1
Muon:0.000002 (160301.000002-160301.000005) Et2
Muon:0.000016 (160301.000022-160301.000006) Et3
Muon:0.000014 (160303.000001-160303.000015) Et1
Muon:0.000078 (160303.000001-160303.000080) Et2
Muon:0.000001 (160420.000001-160420.000001) Et1
Muon:0.000009 (160420.000011-160420.000002) Et2
Muon:0.000028 (160420.000031-160420.000002) Et3
Muon:0.000001 (160505.000001-160505.000002) Et1
Muon:0.000005 (160505.000002-160505.000006) Et2
Muon:0.000028 (160505.000002-160505.000030) Et3
Muon:0.000061 (160505.000004-160505.000064) Et4
Muon:0.000003 (160508.000001-160508.000005) Et1
Muon:0.000004 (160508.000002-160508.000006) Et2
Muon:0.000085 (160600.003243-160600.003328) Et4
Muon:0.000028 (160651.000030-160651.000002) Et1
Muon:0.000019 (160655.000166-160655.000148) Et1
Muon:0.000060 (160655.000211-160655.000151) Et2
Muon:0.000005 (160848.000001-160848.000006) Et1
Muon:0.000001 (160919.000001-160919.000002) Et1
Muon:0.000025 (160919.000003-160919.000028) Et2
Muon:0.000002 (161008.000001-161008.000002) Et1
Muon:0.000001 (161308.000001-161308.000002) Et1
Muon:0.000000 (161308.000002-161308.000002) Et2
Muon:0.000062 (161308.000003-161308.000066) Et3
Muon:0.000001 (161344.000001-161344.000002) Et1
Muon:0.000005 (161344.000001-161344.000006) Et2
Muon:0.000030 (161344.000006-161344.000036) Et3
Muon:0.000063 (161344.000017-161344.000080) Et4
Muon:0.000040 (161345.000001-161345.000041) Et1
Muon:0.000015 (161436.000303-161436.000318) Et1
Muon:0.000077 (161436.000401-161436.000324) Et2
Muon:0.000001 (161613.000001-161613.000002) Et1
Muon:0.000002 (161613.000002-161613.000004) Et2
Muon:0.000063 (161613.000007-161613.000069) Et3
Muon:0.000077 (161614.000001-161614.000078) Et1
Muon:0.000083 (161614.000007-161614.000090) Et2
Muon:0.000074 (161614.000022-161614.000096) Et3
Muon:0.000045 (161614.000066-161614.000111) Et4
Muon:0.000020 (161724.000001-161724.000021) Et1
Muon:0.000012 (161821.000139-161821.000128) Et1
Muon:0.000063 (161921.000857-161921.000793) Et1
Muon:0.000035 (161956.000001-161956.000036) Et1
Muon:0.000090 (161956.000005-161956.000094) Et2
Muon:0.000021 (162059.000001-162059.000021) Et1
Muon:0.000031 (162059.000001-162059.000032) Et2
Muon:0.000023 (162059.000011-162059.000034) Et3
Muon:0.000039 (162059.000035-162059.000074) Et4
Muon:0.000001 (162119.000001-162119.000001) Et1
Muon:0.000005 (162148.000001-162148.000006) Et1
Muon:0.000036 (162148.000001-162148.000037) Et2
Muon:0.000075 (162148.000002-162148.000077) Et3
Muon:0.000002 (162149.000001-162149.000003) Et1
Muon:0.000004 (162149.000002-162149.000006) Et2
Muon:0.000005 (162149.000002-162149.000007) Et3
Muon:0.000007 (162149.000006-162149.000013) Et4
Muon:0.000001 (162150.000001-162150.000002) Et1
Muon:0.000004 (162150.000002-162150.000006) Et2
Muon:0.000007 (162150.000024-162150.000032) Et3
Muon:0.000004 (162307.000001-162307.000005) Et1
Muon:0.000001 (162329.000001-162329.000003) Et1
Muon:0.000001 (162332.000001-162332.000001) Et1
Muon:0.000002 (162440.000298-162440.000300) Et4
Muon:0.000001 (162620.000001-162620.000002) Et1
Muon:0.000002 (162620.000001-162620.000004) Et2
Muon:0.000005 (162620.000002-162620.000007) Et3
Muon:0.000016 (162826.000001-162826.000017) Et1
Muon:0.000025 (162826.000002-162826.000027) Et2
Muon:0.000027 (162826.000005-162826.000032) Et3
Muon:0.000024 (162826.000010-162826.000033) Et4
Muon:0.000012 (162855.000013-162855.000001) Et1
Muon:0.000003 (162856.000001-162856.000005) Et1
Muon:0.000003 (162856.000004-162856.000007) Et2
Muon:0.000002 (162856.000008-162856.000009) Et3
Muon:0.000073 (162856.000126-162856.000053) Et4
Muon:0.000090 (162939.000001-162939.000091) Et1
Muon:0.000030 (162939.000131-162939.000101) Et2
Muon:0.000090 (163106.000306-163106.000216) Et1
Muon:0.000098 (163156.000002-163156.000100) Et1
Muon:0.000099 (163157.000547-163157.000448) Et1
Muon:0.000043 (163322.000001-163322.000044) Et1
Muon:0.000016 (163349.000001-163349.000017) Et1
Muon:0.000016 (163448.000001-163448.000017) Et1
Muon:0.000003 (163508.000001-163508.000004) Et1
Muon:0.000001 (163614.000003-163614.000002) Et1
Muon:0.000005 (163706.000001-163706.000006) Et1
Muon:0.000037 (163706.000001-163706.000038) Et2
Muon:0.000002 (163750.000001-163750.000002) Et1
Muon:0.000003 (163750.000001-163750.000005) Et2
Muon:0.000007 (163750.000002-163750.000009) Et3
Muon:0.000002 (163750.000011-163750.000013) Et4
Muon:0.000000 (163817.000001-163817.000000) Et1
Muon:0.000002 (163922.000001-163922.000002) Et1
Muon:0.000003 (163922.000001-163922.000005) Et2
Muon:0.000007 (163922.000002-163922.000009) Et3
Muon:0.000012 (163922.000015-163922.000027) Et4
Muon:0.000043 (163923.000001-163923.000044) Et1
